2025-12-10 07:12:00 UTC | himanshu1001 | navigate | /metrics_json | GET request
2025-12-10 07:12:00 UTC | himanshu1001 | navigate | /gc_distribution_data | GET request
2025-12-10 07:12:00 UTC | himanshu1001 | navigate | /embedding_pca_data | GET request
2025-12-10 07:12:00 UTC | himanshu1001 | navigate | /correlation_heatmap_data | GET request
2025-12-10 07:12:28 UTC | himanshu1001 | navigate | /metrics | GET request
2025-12-10 07:12:31 UTC | himanshu1001 | navigate | /treatment | GET request
2025-12-10 07:12:55 UTC | himanshu1001 | navigate | /comparison | GET request
2025-12-10 07:12:56 UTC | himanshu1001 | navigate | /metrics_json | GET request
2025-12-10 07:12:56 UTC | himanshu1001 | navigate | /gc_distribution_data | GET request
2025-12-10 07:12:56 UTC | himanshu1001 | navigate | /embedding_pca_data | GET request
2025-12-10 07:12:56 UTC | himanshu1001 | navigate | /correlation_heatmap_data | GET request
2025-12-10 07:12:57 UTC | himanshu1001 | navigate | /generator | GET request
2025-12-10 07:13:46 UTC | himanshu1001 | navigate | /validation | GET request
2025-12-10 07:13:47 UTC | himanshu1001 | view_validation | /validation | status=PASS
2025-12-10 07:13:51 UTC | himanshu1001 | navigate | /metrics | GET request
2025-12-10 07:13:53 UTC | himanshu1001 | navigate | /comparison | GET request
2025-12-10 07:13:53 UTC | himanshu1001 | navigate | /metrics_json | GET request
2025-12-10 07:13:53 UTC | himanshu1001 | navigate | /embedding_pca_data | GET request

2025-12-10 07:13:53 UTC | himanshu1001 | navigate | /correlation_heatmap_data | GET request
2025-12-10 07:13:55 UTC | himanshu1001 | navigate | /treatment | GET request
2025-12-10 07:13:56 UTC | himanshu1001 | navigate | /comparison | GET request
2025-12-10 07:13:56 UTC | himanshu1001 | navigate | /metrics_json | GET request
2025-12-10 07:13:56 UTC | himanshu1001 | navigate | /gc_distribution_data | GET request
2025-12-10 07:13:56 UTC | himanshu1001 | navigate | /embedding_pca_data | GET request
2025-12-10 07:13:57 UTC | himanshu1001 | navigate | /correlation_heatmap_data | GET request
2025-12-10 07:21:41 UTC | himanshu1001 | navigate | /generator | GET request
2025-12-10 07:21:43 UTC | himanshu1001 | navigate | /generate | POST request
2025-12-10 07:21:43 UTC | himanshu1001 | generate_sequences | /generate | 100 sequences via single_model
2025-12-10 07:21:45 UTC | himanshu1001 | navigate | /generate | POST request
2025-12-10 07:21:45 UTC | himanshu1001 | generate_sequences | /generate | 100 sequences via single_model
2025-12-10 07:21:45 UTC | himanshu1001 | navigate | /generate | POST request
2025-12-10 07:21:45 UTC | himanshu1001 | generate_sequences | /generate | 100 sequences via single_model
2025-12-10 07:21:45 UTC | himanshu1001 | navigate | /generate | POST request
2025-12-10 07:21:45 UTC | himanshu1001 | generate_sequences | /generate | 100 sequences via single_model
2025-12-10 07:21:46 UTC | himanshu1001 | navigate | /generate | POST request
